Safra;Total_Amostras;ClassOnly_Precisao;ClassOnly_Recall;ClassOnly_F1_Score;ClassOnly_TP;ClassOnly_FP;ClassOnly_FN;ClassOnly_TN;ClassOnly_Erro_Medio_Dias;Reg_Only_Precisao;Reg_Only_Recall;Reg_Only_F1_Score;Reg_Only_TP;Reg_Only_FP;Reg_Only_FN;Reg_Only_TN;Reg_Only_Erro_Medio_Dias;Hibrido_Precisao;Hibrido_Recall;Hibrido_F1_Score;Hibrido_TP;Hibrido_FP;Hibrido_FN;Hibrido_TN;Hibrido_Erro_Medio_Dias
2004;3045;0,4468503937007874;0,6715976331360947;0,5366430260047281;227;281;111;2426;5,7272727272727275;0,269715352309846;0,39054054054054055;0,31907259177477226;578;1565;902;0;11,238744077384961;0,41732283464566927;0,8249027237354085;0,5542483660130719;212;296;45;2492;4,726521
2005;3045;0,7098591549295775;0,49606299212598426;0,5840092699884125;252;103;256;2434;12,114285714285714;0,29272187999087385;0,4188703885079987;0,34461455815202796;1283;3100;1780;0;10,172037072949996;0,9495798319327731;0,4448818897637795;0,6058981233243967;226;12;282;2525;10,724409448818898
2006;6151;0,6340819022457067;0,4928131416837782;0,5545927209705372;480;277;494;4900;16,303030303030305;0,33427214935221694;0,4529495147748337;0,38466524678210945;4154;8273;5017;0;9,617692610616668;0,9249492900608519;0,4681724845995893;0,621676891615542;456;37;518;5140;7,408624229979466
2007;17444;0,6573720397249809;0,6486995853750471;0,6530070195408841;1721;897;932;13894;14,931392931392931;0,43142583120204603;0,21725831119697336;0,2889876331709406;5398;7114;19448;0;12,497451695333584;0,869914346895075;0,6125141349415756;0,7188675071886751;1625;243;1028;14548;5,597436863927629
2008;31958;0,540327763496144;0,8129079042784626;0,6491651385001448;3363;2861;774;24960;23,95959595959596;0,5720440084835631;0,19919224555735057;0,2954911157519942;8631;6457;34699;0;13,832493912010722;0,9085520745131245;0,7781000725163162;0,83828125;3219;324;918;27497;5,492144065748127
2009;49533;0,6736481861738536;0,8040849673202615;0,7331098696461825;4921;2384;1199;41029;16,04562292844609;0,37717176160105564;0,4110738255033557;0,39339373781396947;1715;2832;2457;0;10,265203085985952;0,8786372007366483;0,7795751633986928;0,8261471861471862;4771;659;1349;42754;5,0390522875817
2010;6929;0,644808743169399;0,6679245283018868;0,6561631139944393;708;390;352;5479;15,165829145728644;0,42766898294377764;0,3234076433121019;0,3683017499319975;2031;2718;4249;0;12,402241862225623;0,8865836791147994;0,6047169811320755;0,7190128996074032;641;82;419;5787;8,571698113207548
2011;8998;0,37346625766871167;0,8396551724137931;0,5169851380042463;974;1634;186;6204;31,176470588235293;0,2288888888888889;0,533678756476684;0,3203732503888025;103;347;90;0;17,51375408879033;0,7596964586846543;0,7767241379310345;0,7681159420289855;901;285;259;7553;7,0137931034482754
2012;540;0,7741935483870968;0,6;0,676056338028169;48;14;32;446;13,166666666666666;0,5100193923723335;0,2955056179775281;0,374199668010434;789;758;1881;0;10,51599320063374;0,8536585365853658;0,4375;0,5785123966942148;35;6;45;454;12,575
2013;3428;0,40485436893203886;0,9308035714285714;0,564276048714479;417;613;31;2367;26,732142857142858;0,4646374216651746;0,3005211349160394;0,3649789029535865;519;598;1208;0;9,816546808058217;0,7824267782426778;0,8348214285714286;0,8077753779697624;374;104;74;2876;4,796875
2014;2325;0,65;0,8666666666666667;0,7428571428571429;260;140;40;1885;20,119402985074625;0,3792507204610951;0,48921933085501856;0,42727272727272725;658;1077;687;0;9,806724806643045;0,9064748201438849;0,84;0,8719723183391004;252;26;48;1999;4,9
2015;2422;0,6676056338028169;0,6657303370786517;0,6666666666666666;237;118;119;1948;14,707692307692307;0,262287104622871;0,46869565217391307;0,3363494539781591;539;1516;611;0;13,076950252100836;0,9473684210526315;0,6067415730337079;0,7397260273972602;216;12;140;2054;8,17134831460674
2016;2664;0,5549242424242424;0,6910377358490566;0,615546218487395;293;235;131;2005;17,265822784810126;0,40949935815147626;0,373536299765808;0,3906919779546847;638;920;1070;0;9,47452584067799;0,8119122257053292;0,6108490566037735;0,6971736204576043;259;60;165;2180;7,693396226415095
2017;2628;0,5841995841995842;0,7553763440860215;0,6588511137162955;281;200;91;2056;18,16216216216216;0,5018744142455482;0,47962382445141066;0,4904969086329288;1071;1063;1162;0;6,929869022184206;0,8054711246200608;0,7123655913978495;0,7560627674750356;265;64;107;2192;6,131720430107527
2018;3296;0,6032786885245902;0,8141592920353983;0,6930320150659134;368;242;84;2602;16,74;0,11912479740680713;0,34345794392523366;0,1768953068592058;147;1087;281;0;15,947017470759526;0,8516624040920716;0,7367256637168141;0,7900355871886121;333;58;119;2786;6,320796460176991
2019;1515;0,5218855218855218;0,6681034482758621;0,5860113421550095;155;142;77;1141;21,023255813953487;0,42377756471716205;0,24299065420560748;0,3088749126484976;442;601;1377;0;13,137344997185322;0,9291338582677166;0,5086206896551724;0,6573816155988857;118;9;114;1274;11,318965517241379
2020;2420;0,4680073126142596;0,9014084507042254;0,6161251504211793;256;291;28;1845;27,076923076923077;0,44724919093851134;0,2663839629915189;0,33389707658854795;691;854;1903;0;10,455980002188626;0,7370242214532872;0,75;0,743455497382199;213;76;71;2060;5,880281690140845
2021;3448;0,4814340588988476;0,94;0,6367485182049111;376;405;24;2643;26,804123711340207;0,23684210526315788;0,13043478260869565;0,16822429906542055;63;203;420;0;16,140884432778762;0,7891304347826087;0,9075;0,8441860465116279;363;97;37;2951;4,0
