Safra,Limiar_Class,Limiar_Reg_Dias,VP,FN,Recall,Erro_Medio,Abs_Erro
2013,0.7,30,112,0,100.0,-23.5,23.5
2013,0.66,30,112,0,100.0,-23.8,23.8
2013,0.65,30,112,0,100.0,-24.1,24.1
2013,0.6,30,112,0,100.0,-25.5,25.5
2013,0.7,40,112,0,100.0,-25.7,25.7
2013,0.7,999,112,0,100.0,-26.2,26.2
2013,0.66,40,112,0,100.0,-26.4,26.4
2013,0.5,30,112,0,100.0,-26.7,26.7
2013,0.66,999,112,0,100.0,-26.7,26.7
2013,0.65,40,112,0,100.0,-26.9,26.9
2013,0.65,999,112,0,100.0,-27.2,27.2
2013,0.6,40,112,0,100.0,-28.8,28.8
2013,0.6,999,112,0,100.0,-29.6,29.6
2013,0.5,40,112,0,100.0,-30.7,30.7
2013,0.5,999,112,0,100.0,-31.9,31.9
2013,0.75,30,111,1,99.11,-22.4,22.4
2013,0.75,40,111,1,99.11,-24.4,24.4
2013,0.75,999,111,1,99.11,-24.8,24.8
2021,0.5,25,99,1,99.0,-23.6,23.6
2021,0.5,30,99,1,99.0,-27.6,27.6
2021,0.5,40,99,1,99.0,-32.0,32.0
2021,0.5,999,99,1,99.0,-32.8,32.8
2020,0.5,30,70,1,98.59,-25.7,25.7
2020,0.5,40,70,1,98.59,-30.3,30.3
2020,0.5,999,70,1,98.59,-31.8,31.8
2013,0.6,25,110,2,98.21,-22.9,22.9
2013,0.5,25,110,2,98.21,-23.6,23.6
2021,0.5,20,98,2,98.0,-18.5,18.5
2013,0.7,25,109,3,97.32,-21.3,21.3
2013,0.66,25,109,3,97.32,-22.1,22.1
2013,0.65,25,109,3,97.32,-22.2,22.2
2020,0.5,25,69,2,97.18,-22.4,22.4
2021,0.66,25,97,3,97.0,-20.0,20.0
2021,0.65,25,97,3,97.0,-20.6,20.6
2021,0.6,25,97,3,97.0,-21.8,21.8
2021,0.66,30,97,3,97.0,-23.6,23.6
2021,0.65,30,97,3,97.0,-24.1,24.1
2021,0.6,30,97,3,97.0,-25.4,25.4
2021,0.66,40,97,3,97.0,-26.5,26.5
2021,0.66,999,97,3,97.0,-26.8,26.8
2021,0.65,40,97,3,97.0,-27.0,27.0
2021,0.65,999,97,3,97.0,-27.4,27.4
2021,0.6,40,97,3,97.0,-29.2,29.2
2021,0.6,999,97,3,97.0,-29.6,29.6
2013,0.75,25,108,4,96.43,-20.3,20.3
2021,0.5,15,96,4,96.0,-13.5,13.5
2021,0.7,30,96,4,96.0,-22.4,22.4
2021,0.7,40,96,4,96.0,-24.8,24.8
2021,0.7,999,96,4,96.0,-25.2,25.2
2020,0.6,30,68,3,95.77,-23.7,23.7
2020,0.6,40,68,3,95.77,-28.0,28.0
2020,0.6,999,68,3,95.77,-28.6,28.6
2013,0.8,30,107,5,95.54,-21.3,21.3
2013,0.8,40,107,5,95.54,-22.8,22.8
2013,0.8,999,107,5,95.54,-23.1,23.1
2021,0.65,15,95,5,95.0,-13.1,13.1
2021,0.66,15,95,5,95.0,-13.1,13.1
2021,0.6,15,95,5,95.0,-13.4,13.4
2021,0.66,20,95,5,95.0,-16.2,16.2
2021,0.65,20,95,5,95.0,-16.3,16.3
2021,0.6,20,95,5,95.0,-17.3,17.3
2021,0.7,25,95,5,95.0,-18.9,18.9
2013,0.65,15,106,6,94.64,-13.5,13.5
2013,0.66,15,106,6,94.64,-13.5,13.5
2013,0.6,15,106,6,94.64,-14.2,14.2
2013,0.5,15,106,6,94.64,-14.7,14.7
2013,0.75,20,106,6,94.64,-17.4,17.4
2013,0.7,20,106,6,94.64,-17.8,17.8
2013,0.65,20,106,6,94.64,-18.5,18.5
2013,0.66,20,106,6,94.64,-18.5,18.5
2013,0.6,20,106,6,94.64,-19.5,19.5
2013,0.5,20,106,6,94.64,-20.3,20.3
2011,0.5,40,274,16,94.48,-30.7,30.7
2011,0.5,999,274,16,94.48,-32.5,32.5
2020,0.5,20,67,4,94.37,-18.3,18.3
2020,0.6,25,67,4,94.37,-21.4,21.4
2021,0.7,15,94,6,94.0,-12.7,12.7
2021,0.75,20,94,6,94.0,-15.4,15.4
2021,0.7,20,94,6,94.0,-15.7,15.7
2021,0.75,25,94,6,94.0,-17.5,17.5
2021,0.75,30,94,6,94.0,-20.6,20.6
2021,0.75,40,94,6,94.0,-22.6,22.6
2021,0.75,999,94,6,94.0,-23.0,23.0
2013,0.75,15,105,7,93.75,-12.6,12.6
2013,0.7,15,105,7,93.75,-13.1,13.1
2011,0.5,30,271,19,93.45,-27.0,27.0
2014,0.6,30,70,5,93.33,-20.2,20.2
2014,0.6,40,70,5,93.33,-20.7,20.7
2014,0.6,999,70,5,93.33,-21.0,21.0
2014,0.5,30,70,5,93.33,-23.5,23.5
2014,0.5,40,70,5,93.33,-24.3,24.3
2014,0.5,999,70,5,93.33,-24.6,24.6
2021,0.75,15,93,7,93.0,-12.7,12.7
2018,0.5,30,104,9,92.04,-21.8,21.8
2018,0.5,40,104,9,92.04,-23.2,23.2
2018,0.5,999,104,9,92.04,-23.2,23.2
2021,0.65,10,92,8,92.0,-8.1,8.1
2021,0.66,10,92,8,92.0,-8.1,8.1
2021,0.7,10,92,8,92.0,-8.1,8.1
2021,0.6,10,92,8,92.0,-8.2,8.2
2021,0.5,10,92,8,92.0,-8.3,8.3
2021,0.8,15,92,8,92.0,-12.5,12.5
2014,0.6,20,69,6,92.0,-13.9,13.9
2014,0.5,20,69,6,92.0,-15.5,15.5
2021,0.8,20,92,8,92.0,-15.5,15.5
2014,0.6,25,69,6,92.0,-17.0,17.0
2021,0.8,25,92,8,92.0,-17.2,17.2
2021,0.8,30,92,8,92.0,-18.7,18.7
2014,0.5,25,69,6,92.0,-19.8,19.8
2021,0.8,40,92,8,92.0,-20.0,20.0
2021,0.8,999,92,8,92.0,-20.4,20.4
2013,0.8,25,103,9,91.96,-19.8,19.8
2011,0.6,40,266,24,91.72,-29.8,29.8
2011,0.6,999,266,24,91.72,-31.5,31.5
2020,0.6,20,65,6,91.55,-17.7,17.7
2020,0.75,30,65,6,91.55,-19.9,19.9
2020,0.75,40,65,6,91.55,-21.3,21.3
2020,0.7,30,65,6,91.55,-21.5,21.5
2020,0.75,999,65,6,91.55,-21.5,21.5
2020,0.66,30,65,6,91.55,-22.2,22.2
2020,0.65,30,65,6,91.55,-22.6,22.6
2020,0.7,40,65,6,91.55,-23.1,23.1
2020,0.7,999,65,6,91.55,-23.4,23.4
2020,0.66,40,65,6,91.55,-26.6,26.6
2020,0.66,999,65,6,91.55,-27.1,27.1
2020,0.65,40,65,6,91.55,-27.7,27.7
2020,0.65,999,65,6,91.55,-28.2,28.2
2018,0.6,30,103,10,91.15,-18.1,18.1
2018,0.6,40,103,10,91.15,-18.9,18.9
2018,0.6,999,103,10,91.15,-18.9,18.9
2011,0.6,30,264,26,91.03,-26.4,26.4
2014,0.5,15,68,7,90.67,-11.4,11.4
2008,0.5,40,938,97,90.63,-28.2,28.2
2008,0.5,999,938,97,90.63,-29.1,29.1
2020,0.5,15,64,7,90.14,-13.9,13.9
2020,0.7,25,64,7,90.14,-19.6,19.6
2020,0.66,25,64,7,90.14,-20.4,20.4
2020,0.65,25,64,7,90.14,-20.8,20.8
2008,0.5,30,933,102,90.14,-24.9,24.9
2021,0.85,15,90,10,90.0,-11.8,11.8
2021,0.85,20,90,10,90.0,-14.1,14.1
2021,0.85,25,90,10,90.0,-16.0,16.0
2021,0.85,30,90,10,90.0,-16.8,16.8
2021,0.85,40,90,10,90.0,-17.6,17.6
2021,0.85,999,90,10,90.0,-17.7,17.7
2011,0.5,25,260,30,89.66,-23.1,23.1
2018,0.65,30,101,12,89.38,-16.2,16.2
