ano,nome_do_modelo,Erro_dias,R2_medio,MAE_medio,RMSE_medio,VP,FP,FN,VN,Recall,Precision,MedAE,F1
2005,RF_classificador,8.028846153846153,0.1769,0.238,0.3298,341,263,167,2274,0.671,0.565,,
2006,RF_classificador,10.350282485875706,-0.0714,0.266,0.3614,568,746,406,4443,0.583,0.432,,
2007,RF_classificador,11.742574257425742,-0.0457,0.2489,0.3574,1675,1952,978,12839,0.631,0.462,,
2008,RF_classificador,11.6235167206041,-0.1148,0.2286,0.3353,3468,3752,671,24069,0.838,0.48,,
2009,RF_classificador,6.421667965705378,0.3148,0.1669,0.2573,4995,1780,1305,41707,0.793,0.737,,
2010,RF_classificador,5.662857142857143,0.2983,0.2006,0.3,635,134,425,5810,0.599,0.826,,
2011,RF_classificador,10.995901639344263,-0.0408,0.2145,0.3252,937,794,223,7044,0.808,0.541,,
2012,RF_classificador,5.75,0.2219,0.1895,0.3066,32,8,48,452,0.4,0.8,,
2013,RF_classificador,8.396039603960396,0.0719,0.2228,0.3089,385,276,63,2704,0.859,0.582,,
2014,RF_classificador,7.424242424242424,0.2727,0.1861,0.2726,261,143,39,1882,0.87,0.646,,
2015,RF_classificador,6.2592592592592595,0.3422,0.1863,0.2783,209,66,147,2000,0.587,0.76,,
2016,RF_classificador,8.341463414634147,0.0365,0.256,0.3454,296,275,128,1967,0.698,0.518,,
2017,RF_classificador,5.647887323943662,0.3521,0.1873,0.2739,264,65,108,2191,0.71,0.802,,
2018,RF_classificador,4.568181818181818,0.4401,0.1723,0.2556,345,46,107,2798,0.763,0.882,,
2019,RF_classificador,6.944444444444445,0.2538,0.2036,0.3049,132,59,100,1224,0.569,0.691,,
2020,RF_classificador,8.918032786885245,0.0937,0.1933,0.2886,238,143,46,1993,0.838,0.625,,
2021,RF_classificador,7.292134831460674,0.2096,0.1834,0.2689,356,164,44,2884,0.89,0.685,,
2022,RF_classificador,9.117647058823529,0.1862,0.1781,0.2596,66,39,6,575,0.917,0.629,,
2023,RF_classificador,8.788698533986541,0.0838,0.2358,0.3506,0,0,8,42,0.0,0.0,,
2005,RF_classificador_so_chuva,4.288461538461538,0.1650,0.2440,0.3423,148,49,360,2488,0.291,0.751,,
2006,RF_classificador_so_chuva,3.6363636363636362,0.0780,0.2526,0.3524,129,56,845,5133,0.132,0.697,,
2007,RF_classificador_so_chuva,6.144444444444445,0.0995,0.2468,0.3371,1083,719,1570,14072,0.408,0.601,,
2008,RF_classificador_so_chuva,11.975961538461538,-0.3563,0.3010,0.3811,1428,3070,2711,24751,0.345,0.317,,
2009,RF_classificador_so_chuva,7.87374749498998,-0.0915,0.2589,0.3365,2648,3409,3652,40078,0.420,0.437,,
2010,RF_classificador_so_chuva,4.809523809523809,0.0972,0.2568,0.3406,347,173,713,5771,0.327,0.667,,
2011,RF_classificador_so_chuva,13.23076923076923,-0.6566,0.3320,0.4120,781,1683,379,6155,0.673,0.317,,
2012,RF_classificador_so_chuva,5.111111111111111,0.0478,0.2480,0.3445,23,12,57,448,0.287,0.657,,
2013,RF_classificador_so_chuva,11.976470588235294,-0.4794,0.3384,0.3972,272,414,176,2566,0.607,0.397,,
2014,RF_classificador_so_chuva,7.890909090909091,-0.1642,0.2856,0.3550,141,153,159,1872,0.470,0.480,,
2015,RF_classificador_so_chuva,7.8,-0.0504,0.2655,0.3516,170,209,186,1857,0.478,0.449,,
2016,RF_classificador_so_chuva,16.447916666666668,-1.1293,0.4819,0.5197,341,952,83,1290,0.804,0.264,,
2017,RF_classificador_so_chuva,16.59550561797753,-1.0706,0.4459,0.4880,266,759,106,1497,0.715,0.260,,
2018,RF_classificador_so_chuva,14.098901098901099,-0.7980,0.4273,0.4541,283,529,169,2315,0.626,0.349,,
2019,RF_classificador_so_chuva,16.634615384615383,-1.0171,0.4695,0.5005,148,410,84,873,0.638,0.265,,
2020,RF_classificador_so_chuva,19.014492753623188,-1.4599,0.4593,0.4941,195,639,89,1497,0.687,0.234,,
2021,RF_classificador_so_chuva,23.545454545454547,-2.2002,0.5131,0.5601,378,1464,22,1584,0.945,0.205,,
2022,RF_classificador_so_chuva,20.0,-1.6616,0.4663,0.4924,36,164,36,450,0.500,0.180,,
2023,RF_classificador_so_chuva,12.429538929409838,-0.2049,0.3517,0.4015,0,0,8,42,0.000,0.000,,
2005,RF_regressao_safra,12.16,-0.150,12.16,16.00,,,,,0.25,0.46,9.17,0.32
2006,RF_regressao_safra,12.87,0.618,12.87,16.78,,,,,0.27,0.38,9.88,0.32
2007,RF_regressao_safra,9.98,-0.348,9.98,13.75,,,,,0.4,0.53,6.74,0.46
2008,RF_regressao_safra,13.88,0.097,13.88,18.38,,,,,0.55,0.3,11.42,0.39
2009,RF_regressao_safra,15.73,-0.186,15.73,20.29,,,,,0.55,0.21,13.45,0.31
2010,RF_regressao_safra,11.65,0.473,11.65,15.73,,,,,0.38,0.43,8.13,0.41
2011,RF_regressao_safra,12.70,0.131,12.7,17.69,,,,,0.57,0.31,8.04,0.4
2012,RF_regressao_safra,18.88,0.512,18.88,23.87,,,,,0.24,0.44,18.5,0.31
2013,RF_regressao_safra,11.87,0.134,11.87,16.25,,,,,0.46,0.32,8.81,0.38
2014,RF_regressao_safra,14.53,0.372,14.53,19.86,,,,,0.47,0.26,9.45,0.34
2015,RF_regressao_safra,12.19,0.048,12.19,15.94,,,,,0.33,0.45,10.23,0.38
2016,RF_regressao_safra,14.12,-1.371,14.12,18.83,,,,,0.34,0.51,12.04,0.41
2017,RF_regressao_safra,10.19,0.387,10.19,13.86,,,,,0.38,0.46,7.85,0.42
2018,RF_regressao_safra,9.99,0.368,9.99,13.85,,,,,0.38,0.4,6.85,0.39
2019,RF_regressao_safra,15.32,0.360,15.32,20.12,,,,,0.27,0.39,12.13,0.32
2020,RF_regressao_safra,13.25,0.543,13.25,17.17,,,,,0.36,0.27,10.65,0.31
2021,RF_regressao_safra,12.02,-0.069,12.02,15.40,,,,,0.55,0.27,10.35,0.36
2022,RF_regressao_safra,15.86,0.565,15.86,20.90,,,,,0.57,0.25,12.99,0.34
2023,RF_regressao_safra,11.86,0.000,11.86,12.69,,,,,0.0,0.0,10.64,0.0
2005,RF_regressao_talhao,13.34,-0.405,13.34,17.18,,,,,0.26,0.46,,0.33
2006,RF_regressao_talhao,13.02,-0.597,13.02,16.48,,,,,0.20,0.37,,0.26
2007,RF_regressao_talhao,10.35,0.092,10.35,14.16,,,,,0.40,0.52,,0.45
2008,RF_regressao_talhao,10.38,0.032,10.38,14.05,,,,,0.48,0.37,,0.42
2009,RF_regressao_talhao,10.41,0.070,10.41,14.87,,,,,0.52,0.40,,0.45
2010,RF_regressao_talhao,10.33,0.030,10.33,14.25,,,,,0.43,0.49,,0.46
2011,RF_regressao_talhao,12.92,0.082,12.92,18.35,,,,,0.56,0.33,,0.42
2012,RF_regressao_talhao,13.37,-0.177,13.37,17.36,,,,,0.26,0.56,,0.35
2013,RF_regressao_talhao,11.80,-0.096,11.80,16.46,,,,,0.48,0.28,,0.36
2014,RF_regressao_talhao,10.29,-0.899,10.29,13.50,,,,,0.43,0.35,,0.39
2015,RF_regressao_talhao,10.57,0.179,10.57,14.01,,,,,0.32,0.45,,0.38
2016,RF_regressao_talhao,10.71,0.253,10.71,14.15,,,,,0.36,0.37,,0.36
2017,RF_regressao_talhao,10.78,0.192,10.78,13.90,,,,,0.27,0.39,,0.32
2018,RF_regressao_talhao,9.04,-0.203,9.04,11.97,,,,,0.40,0.40,,0.40
2019,RF_regressao_talhao,13.05,0.055,13.05,16.92,,,,,0.23,0.33,,0.27
2020,RF_regressao_talhao,13.45,0.037,13.45,17.65,,,,,0.36,0.28,,0.31
2021,RF_regressao_talhao,12.02,-0.241,12.02,16.17,,,,,0.46,0.30,,0.36
2022,RF_regressao_talhao,14.02,-0.327,14.02,18.15,,,,,0.45,0.27,,0.34
2023,RF_regressao_talhao,8.49,0.000,8.49,11.02,,,,,0.30,1.00,,0.46
2005,LGBM_classificador,6.1831,0.2605,0.1715,0.3091,249.0,96.0,259.0,2441.0,0.4902,0.7217,,
2006,LGBM_classificador,8.4191,0.1343,0.1877,0.3236,499.0,343.0,475.0,4846.0,0.5123,0.5926,,
2007,LGBM_classificador,7.2617,0.2471,0.1699,0.2979,1635.0,805.0,1018.0,13986.0,0.6163,0.6701,,
2008,LGBM_classificador,14.7242,-0.3915,0.2365,0.3734,3597.0,5508.0,542.0,22313.0,0.8691,0.3951,,
2009,LGBM_classificador,11.5107,0.2359,0.1434,0.2623,5143.0,3359.0,1157.0,40128.0,0.8163,0.6049,,
2010,LGBM_classificador,6.0476,0.3501,0.159,0.2752,707.0,274.0,353.0,5670.0,0.667,0.7207,,
2011,LGBM_classificador,15.8872,-0.8921,0.2637,0.4345,1034.0,2112.0,126.0,5726.0,0.8914,0.3287,,
2012,LGBM_classificador,6.9286,0.3855,0.1334,0.257,50.0,15.0,30.0,445.0,0.625,0.7692,,
2013,LGBM_classificador,16.422,-1.121,0.3058,0.463,431.0,958.0,17.0,2022.0,0.9621,0.3103,,
2014,LGBM_classificador,15.0417,-0.5977,0.251,0.399,283.0,515.0,17.0,1510.0,0.9433,0.3546,,
2015,LGBM_classificador,8.4928,0.1288,0.1761,0.2966,255.0,210.0,101.0,1856.0,0.7163,0.5484,,
2016,LGBM_classificador,7.8481,0.0171,0.2195,0.3315,307.0,255.0,117.0,1987.0,0.7241,0.5463,,
2017,LGBM_classificador,6.8831,0.316,0.1557,0.264,292.0,144.0,80.0,2112.0,0.7849,0.6697,,
2018,LGBM_classificador,6.2283,0.4395,0.1514,0.2443,357.0,123.0,95.0,2721.0,0.7898,0.7438,,
2019,LGBM_classificador,8.5122,0.1566,0.1932,0.3122,149.0,97.0,83.0,1186.0,0.6422,0.6057,,
2020,LGBM_classificador,11.0635,-0.0065,0.1652,0.2849,245.0,222.0,39.0,1914.0,0.8627,0.5246,,
2021,LGBM_classificador,15.4149,-0.3862,0.2179,0.3539,373.0,525.0,27.0,2523.0,0.9325,0.4154,,
2022,LGBM_classificador,13.5882,-0.1713,0.1619,0.2869,68.0,69.0,4.0,545.0,0.9444,0.4964,,
2023,LGBM_classificador,11.0,0.3936,0.1946,0.2781,4,1,4,41,0.5,0.8,,
2005,XGBoost_classificador,4.7460,0.2732,0.1681,0.3031,229,34,279,2503,0.4508,0.8707
2006,XGBoost_classificador,8.0240,0.1573,0.1762,0.3101,477,234,497,4955,0.4897,0.6709
2007,XGBoost_classificador,4.3141,0.3766,0.1369,0.2543,1488,234,1165,14557,0.5609,0.8641
2008,XGBoost_classificador,12.4287,-0.3678,0.2434,0.3733,3545,4872,594,22949,0.8565,0.4212
2009,XGBoost_classificador,7.8141,0.3225,0.1357,0.2294,5113,2635,1187,40852,0.8116,0.6599
2010,XGBoost_classificador,4.7733,0.3687,0.1602,0.2733,670,172,390,5772,0.6321,0.7957
2011,XGBoost_classificador,13.7037,-0.6414,0.2517,0.3961,1021,1680,139,6158,0.8802,0.3780
2012,XGBoost_classificador,5.9000,0.2426,0.1533,0.2953,31,12,49,448,0.3875,0.7209
2013,XGBoost_classificador,12.3303,-0.4422,0.2516,0.3731,422,656,26,2324,0.9420,0.3915
2014,XGBoost_classificador,11.3857,-0.0553,0.2065,0.3249,265,313,35,1712,0.8833,0.4585
2015,XGBoost_classificador,6.4677,0.2852,0.1561,0.2655,240,126,116,1940,0.6742,0.6557
2016,XGBoost_classificador,7.6420,0.1149,0.2312,0.3212,314,270,110,1972,0.7406,0.5377
2017,XGBoost_classificador,5.5067,0.3653,0.1554,0.2522,295,97,77,2159,0.7930,0.7526
2018,XGBoost_classificador,6.5938,0.4658,0.1314,0.2221,358,143,94,2701,0.7920,0.7146
2019,XGBoost_classificador,9.5610,0.0316,0.2151,0.3317,139,118,93,1165,0.5991,0.5409
2020,XGBoost_classificador,10.9365,-0.0808,0.1852,0.3001,244,242,40,1894,0.8592,0.5021
2021,XGBoost_classificador,13.5591,-0.5612,0.2356,0.3670,372,577,28,2471,0.9300,0.3920
2022,XGBoost_classificador,11.2941,0.0251,0.1604,0.2643,68,64,4,550,0.9444,0.5152
2023,XGBoost_classificador,,0.4001,0.1959,0.2828,0,0,8,42,0.0000,0.0
2005,XGBoost_classificador_so_chuva,6.5517,0.0962,0.2097,0.3546,204,156,304,2381,0.4016,0.5667
2006,XGBoost_classificador_so_chuva,5.1863,0.0085,0.2116,0.3604,276,221,698,4968,0.2834,0.5553
2007,XGBoost_classificador_so_chuva,6.4430,0.0438,0.2062,0.3443,1399,1296,1254,13495,0.5273,0.5191
2008,XGBoost_classificador_so_chuva,11.8519,-0.8938,0.3010,0.4320,3319,7297,820,20524,0.8019,0.3126
2009,XGBoost_classificador_so_chuva,9.4095,-0.3722,0.2334,0.3613,4760,7947,1540,35540,0.7556,0.3746
2010,XGBoost_classificador_so_chuva,7.1761,-0.0253,0.2244,0.3546,569,627,491,5317,0.5368,0.4758
2011,XGBoost_classificador_so_chuva,15.5820,-1.6220,0.3634,0.5063,970,2988,190,4850,0.8362,0.2451
2012,XGBoost_classificador_so_chuva,7.3000,-0.0723,0.1932,0.3492,37,44,43,416,0.4625,0.4568
2013,XGBoost_classificador_so_chuva,13.4020,-1.1055,0.3432,0.4632,393,877,55,2103,0.8772,0.3094
2014,XGBoost_classificador_so_chuva,10.0145,-0.4310,0.2541,0.3775,261,402,39,1623,0.8700,0.3937
2015,XGBoost_classificador_so_chuva,8.9701,-0.3857,0.2437,0.3900,244,387,112,1679,0.6854,0.3867
2016,XGBoost_classificador_so_chuva,18.0189,-2.8141,0.5741,0.6867,414,1527,10,715,0.9764,0.2133
2017,XGBoost_classificador_so_chuva,19.0761,-2.7316,0.5304,0.6388,358,1403,14,853,0.9624,0.2033
2018,XGBoost_classificador_so_chuva,20.8584,-3.2706,0.5850,0.6886,451,1968,1,876,0.9978,0.1864
2019,XGBoost_classificador_so_chuva,20.3684,-3.2012,0.6054,0.7062,226,965,6,318,0.9741,0.1898
2020,XGBoost_classificador_so_chuva,24.4789,-4.2293,0.6053,0.7143,284,1495,0,641,1.0000,0.1596
2021,XGBoost_classificador_so_chuva,26.6900,-4.9437,0.6656,0.7677,399,2301,1,747,0.9975,0.1478
