data,ocorrencia_latitude,ocorrencia_longitude,ocorrencia
,-24.601402,-51.718105,True
,-25.21012,-51.35116,True
,-25.785368092261965,-51.63263808411514,True
,-24.601402,-51.845875,True
,-25.295923,-51.809654,True
,-25.37197264291004,-51.49172049804218,True
,-23.854569466060497,-49.784168747671025,True
,-25.37197264291004,-51.49172049804218,True
,-23.179111844793784,-51.28436545846835,True
,-23.51431985105242,-51.110478545475566,True
,-23.51431985105242,-51.110478545475566,True
,-23.51431985105242,-51.110478545475566,True
,-23.7732354109405,-51.28355111636297,True
,-25.992476994856105,-52.56416980453629,True
,-25.81246222119447,-52.450760228457426,True
,-25.61319,-52.0115,True
,-23.75091271909728,-49.632205116897794,True
,-26.33579248935219,-52.58055893150855,True
,-24.933402615905138,-50.69775211449513,False
,-25.72642167379993,-49.66842799397752,False
,-24.104616211565798,-49.88759945895487,False
,-24.792083005104434,-50.03116498371162,False
,-24.713595795297387,-49.74948212799144,False
,-24.332168956050324,-54.04265870246357,False
,-25.729963647638456,-53.628121705701446,False
,-24.748985902436665,-50.52638178828093,False
,-24.80429492135347,-53.133438393451414,False
,-25.29369984238959,-50.12994221813885,False
,-25.07023858976149,-51.50130179689863,False
,-25.464047052238314,-52.582296197976746,False
,-25.995297728827243,-50.342026802057035,False
,-25.86192631695669,-52.917860056854465,False
,-24.245434302674326,-49.730308902837585,False
,-25.599154094450892,-53.4378468432818,False
,-23.306508641462102,-52.52122631990952,False
,-24.391879199687512,-52.70182104926349,False
