index,ocorrencia_id,data_ocorrencia,safra,cidade_nome,estado_nome,ocorrencia_localizacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia,data,segment_id,precipitation_14d,precipitation_30d,precipitation_60d,precipitation_90d,precipitation_14d_count,precipitation_30d_count,precipitation_60d_count,precipitation_90d_count
0,18776,2022-03-30,2021/2022,Candói,PARANÁ,POINT(-24.601402 -51.718105),-24.601402,-51.718105,True,,1503.0,19.0,244.75,534.25,605.9375,5,15,32,38
1,18775,2022-03-29,2021/2022,Guarapuava,PARANÁ,POINT(-25.21012 -51.35116),-25.21012,-51.35116,True,,1087.0,34.9375,177.25,338.4375,418.9375,7,17,31,38
2,18680,2022-03-18,2021/2022,Pinhão,PARANÁ,POINT(-25.785368092261965 -51.63263808411514),-25.785368092261965,-51.63263808411514,True,,734.0,59.0,236.1875,431.5625,489.625,6,18,34,41
3,18674,2022-03-09,2021/2022,Candói,PARANÁ,POINT(-24.601402 -51.845875),-24.601402,-51.845875,True,,1502.0,20.125,273.75,572.0,646.5625,4,13,29,35
4,18673,2022-03-08,2021/2022,Guarapuava,PARANÁ,POINT(-25.295923 -51.809654),-25.295923,-51.809654,True,,1082.0,43.875,206.1875,437.0625,487.625,6,19,34,41
5,18648,2022-02-28,2021/2022,Guarapuava,PARANÁ,POINT(-25.37197264291004 -51.49172049804218),-25.37197264291004,-51.49172049804218,True,,1016.0,37.625,182.3125,314.375,382.75,7,18,32,39
6,18647,2022-02-24,2021/2022,Wenceslau Braz,PARANÁ,POINT(-23.854569466060497 -49.784168747671025),-23.854569466060497,-49.784168747671025,True,,2083.0,25.125,162.875,286.75,367.125,2,9,19,25
7,18545,2022-02-14,2021/2022,Guarapuava,PARANÁ,POINT(-25.37197264291004 -51.49172049804218),-25.37197264291004,-51.49172049804218,True,,1016.0,37.625,182.3125,314.375,382.75,7,18,32,39
8,18542,2022-02-10,2021/2022,Cambé,PARANÁ,POINT(-23.179111844793784 -51.28436545846835),-23.179111844793784,-51.28436545846835,True,,2558.0,14.875,140.0625,305.6875,399.875,1,8,20,26
9,18541,2022-02-08,2021/2022,Londrina,PARANÁ,POINT(-23.51431985105242 -51.110478545475566),-23.51431985105242,-51.110478545475566,True,,2279.0,15.5,167.75,314.625,392.5625,2,8,18,24
10,18540,2022-02-01,2021/2022,Londrina,PARANÁ,POINT(-23.51431985105242 -51.110478545475566),-23.51431985105242,-51.110478545475566,True,,2279.0,15.5,167.75,314.625,392.5625,2,8,18,24
