ano,name_model,Erro_days,R2,MAE,RMSE,TP,FP,FN,TN,Recall,Precision,F1,MedAE
2004,RF_classificador,5.859154929577465,0.4630978158001301,0.19613092531739307,0.36633505542484335,244,172,264,2365,0.48031496062992124,0.5865384615384616,0.5281385281385282,0.19613092531739307
2005,RF_classificador,7.760330578512397,0.4720630791118177,0.18985606097202928,0.36328535730622535,433,526,541,4663,0.44455852156057496,0.45151199165797706,0.4480082772891878,0.18985606097202928
2006,RF_classificador,6.576112412177986,0.4592301758804365,0.19414118228007524,0.36766481825128094,1493,1513,1160,13278,0.5627591405955522,0.49667332002661346,0.5276550627319315,0.19414118228007524
2007,RF_classificador,13.103004291845494,0.48386916309508904,0.19663838744849957,0.35918018817909925,3517,7992,622,19829,0.84972215510993,0.3055869319662873,0.4495143149284254,0.19663838744849957
2008,RF_classificador,8.673453996983408,0.48540324079516084,0.19944419669446975,0.35865576015678013,4892,6913,1408,36574,0.7765079365079365,0.4144006776789496,0.5404032035349351,0.19944419669446975
2009,RF_classificador,10.481675392670157,0.4684439421268105,0.1935880786140997,0.3645284799794508,687,1172,373,4772,0.6481132075471698,0.36955352339967723,0.47070914696813976,0.1935880786140997
2010,RF_classificador,15.957528957528957,0.48172241207451083,0.1927966234947986,0.35995374046837325,996,3120,164,4718,0.8586206896551725,0.24198250728862974,0.3775587566338135,0.1927966234947986
2011,RF_classificador,10.333333333333334,0.47353020053576794,0.19515938906828725,0.36275373304773545,29,56,51,404,0.3625,0.3411764705882353,0.35151515151515156,0.19515938906828725
2012,RF_classificador,16.05504587155963,0.4611693488356411,0.19676471631454817,0.36699100446364114,416,1138,32,1842,0.9285714285714286,0.2676962676962677,0.41558441558441556,0.19676471631454817
2013,RF_classificador,9.957142857142857,0.4757786527754351,0.19518396567336835,0.36198153434164315,265,440,35,1585,0.8833333333333333,0.375886524822695,0.5273631840796019,0.19518396567336835
2014,RF_classificador,6.774193548387097,0.4585715174759387,0.19749969985933183,0.36783973134272674,215,231,141,1835,0.6039325842696629,0.4820627802690583,0.5361596009975063,0.19749969985933183
2015,RF_classificador,10.477272727272727,0.46663188013590345,0.1965886960394258,0.3650948011196906,306,527,118,1715,0.7216981132075472,0.3673469387755102,0.48687350835322196,0.1965886960394258
2016,RF_classificador,8.298507462686567,0.4588837170351077,0.19637378990645096,0.36777151760087945,253,325,119,1931,0.6801075268817204,0.43771626297577854,0.5326315789473685,0.19637378990645096
